2023-10-01 20:05:46.806 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:46.949 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:47.018 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:47.101 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:47.165 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:47.265 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:47.324 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:47.337 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:47.357 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:47.512 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:47.585 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:47.778 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:47.812 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:47.828 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:48.018 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:48.019 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
